-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0
-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0
-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0
-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0
-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0
-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0
-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0
-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0
-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0
-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0
-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0
-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0
-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-257.3,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0
-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-256.6,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0,-298.0
